Bluemail,Bluemail
Enabled,Enabled
"Method Name","Method Name"
X-Midla-App-Token,X-Midla-App-Token
"Sort Order","Sort Order"
Title,Title
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Displayed Error Message","Displayed Error Message"
