Bluemail,Bluemail
Enabled,Habilitado
"Method Name","Method Name"
X-Midla-App-Token,X-Midla-App-Token
"Sort Order","Ordenar"
Title,Titulo
"Ship to Applicable Countries","Enviar a países "
"Ship to Specific Countries","Enviar a países específicos"
"Displayed Error Message","Mostrar mensaje de error"
"Select one option ...","Seleccione una opción ..."
"Select an attribute ...","Seleccione un atributo ..."
"Bluemail Notes","Comentario adicional para el envío "
